,doi,title,venue,year
0,10.1145/3544548.3581045,The Halting problem: Video analysis of self-driving cars in traffic,CHI,2023
1,10.1145/3544548.3581425,Modeling the Trade-off of Privacy Preservation and Activity Recognition on Low-Resolution Images,CHI,2023
2,10.1145/3544548.3580931,Lyric App Framework: A Web-based Framework for Developing Interactive Lyric-driven Musical Applications,CHI,2023
3,10.1145/3544548.3581281,Creating Inclusive Voices for the 21st Century: A Non-Binary Text-to-Speech for Conversational Assistants,CHI,2023
4,10.1145/3544548.3581506,Rethinking the Role of AI with Physicians in Oncology: Revealing Perspectives from Clinical and Research Workflows,CHI,2023
5,10.1145/3544548.3580975,Leveraging driver vehicle and environment interaction: Machine learning using driver monitoring cameras to detect drunk driving,CHI,2023
6,10.1145/3544548.3580844,BrailleBuddy: A Tangible User Interface to Support Children with Visual Impairment in Learning Braille,CHI,2023
7,10.1145/3544548.3581079,The Benefits of Passive Haptics and Perceptual Manipulation for Extended Reality Interactions in Constrained Passenger Spaces,CHI,2023
8,10.1145/3544548.3580965,Notable: On-the-fly Assistant for Data Storytelling in Computational Notebooks,CHI,2023
9,10.1145/3544548.3581419,Squeez'In: Private Authentication on Smartphones based on Squeezing Gestures,CHI,2023
10,10.1145/3544548.3581540,Research Products at Scale: Learnings from Designing Devices in Multiples of Ones Tens Hundreds and Thousands,CHI,2023
11,10.1145/3544548.3581077,Towards a Reflection in Creative Experience Questionnaire,CHI,2023
12,10.1145/3544548.3581395,Collaborative Online Learning with VR Video: Roles of Collaborative Tools and Shared Video Control,CHI,2023
13,10.1145/3544548.3580671,How Older Adults Use Online Videos for Learning,CHI,2023
14,10.1145/3544548.3580720,Socio-technical Opportunities in Long-Distance Communication Between Siblings with a Large Age Difference,CHI,2023
15,10.1145/3544548.3580954,TicTacToes: Assessing Toe Movements as an Input Modality,CHI,2023
16,10.1145/3544548.3580736,FingerMapper: Mapping Finger Motions onto Virtual Arms to Enable Safe Virtual Reality Interaction in Confined Spaces,CHI,2023
17,10.1145/3544548.3580776,PointShopAR: Supporting Environmental Design Prototyping Using Point Cloud in Augmented Reality,CHI,2023
18,10.1145/3544548.3580799,TactorBots: A Haptic Design Toolkit for Out-of-lab Exploration of Emotional Robotic Touch,CHI,2023
19,10.1145/3544548.3581557,UndoPort: Exploring the Influence of Undo-Actions for Locomotion in Virtual Reality on the Efficiency Spatial Understanding and User Experience,CHI,2023
20,10.1145/3544548.3580935,12 Ways to Empower: Designing for Children's Digital Autonomy,CHI,2023
21,10.1145/3544548.3581402,RePrompt: Automatic Prompt Editing to Refine AI-Generative Art Towards Precise Expressions,CHI,2023
22,10.1145/3544548.3581452,NetworkNarratives: Data Tours for Visual Network Exploration and Analysis,CHI,2023
23,10.1145/3544548.3581470,GeoCamera: Telling Stories in Geographic Visualizations with Camera Movements,CHI,2023
24,10.1145/3544548.3581123,When Recommender Systems Snoop into Social Media Users Trust them Less for Health Advice,CHI,2023
25,10.1145/3544548.3581487,OurStrategy: Employee Voice In Transnational Strategy Development,CHI,2023
26,10.1145/3544548.3581294,Corsetto: A Kinesthetic Garment for Designing Composing for and Experiencing an Intersubjective Haptic Voice,CHI,2023
27,10.1145/3544548.3580946,What's the Norm Around Here? Individuals' Responses Can Mitigate the Effects of Misinformation Prevalence in Shaping Perceptions of a Community,CHI,2023
28,10.1145/3544548.3581032,Understanding how technology can support social-emotional learning of children: a dyadic trauma-informed participatory design with proxies,CHI,2023
29,10.1145/3544548.3581265,Remote Breathing Rate Tracking in Stationary Position Using the Motion and Acoustic Sensors of Earables,CHI,2023
30,10.1145/3544548.3581373,ESCAPE: Countering Systematic Errors from Machine's Blind Spots via Interactive Visual Analysis,CHI,2023
31,10.1145/3544548.3581383,Impacts of the Strength and Conformity of Social Norms on Well-Being: A Mixed-Method Study Among Hybrid Workers in Japan,CHI,2023
32,10.1145/3544548.3581168,Troubling Collaboration: Matters of Care for Visualization Design Study,CHI,2023
33,10.1145/3544548.3581049,Keep it Real: Investigating Driver-Cyclist Interaction in Real-World Traffic,CHI,2023
34,10.1145/3544548.3581361,MechSense: A Design and Fabrication Pipeline for Integrating Rotary Encoders into 3D Printed Mechanisms,CHI,2023
35,10.1145/3544548.3581144,Using Virtual Reality and Co-Design to Study the Design of Large-scale Shape-Changing Interfaces,CHI,2023
36,10.1145/3544548.3581549,An Augmented Knitting Machine for Operational Assistance and Guided Improvisation,CHI,2023
